LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
Latedownload,99,2022,VAK,Elite,,,2023 tier list,
m_jor,98,2019,ARCON,Elite,,,all-time impact top 100,
oditty,98,2020,RSF,Experienced,,,all-time impact top 100,
draintic,98,2021,,Elite,,,all-time impact top 100,
evilsworn,98,2021,,,,,all-time impact top 100,
c4spian,97,2018,,,,,all-time impact top 100,TRUE
outflash,97,2021,,Experienced,,,all-time impact top 100,
haypro,97,2021,,Experienced,,,Personal,
Latedownload,97,2021,VAK,Elite,,,Growth interpolation,
bobosaid,97,2014,,,,,Legacy,TRUE
paul321321,97,2016,CSP,Elite,,,Personal,TRUE
Avaitron,97,2023,VAK,Elite,,,2023 tier list,
EnigmaPenguin,97,2015,,Experienced,,,haypro top 30,TRUE
Latedownload,96,2019,,Elite,,,all-time impact top 100,
gard1bas,96,2020,EU,Experienced,,,all-time impact top 100,
J_tson,96,2020,,,,,all-time impact top 100,
c4spian,96,2020,CSP,,,,2020 tier list,
outflash,96,2022,VAK,Experienced,,,2022 Summer Games draft,
evilmatty,96,2022,VAK,,,,haypro top 30,
draintic,96,2022,SOL,Elite,,,haypro top 30,
evilsworn,96,2022,Sol,,,,haypro top 30,
gard1bas,96,2022,EU,Elite,,,haypro top 30,
m_jor,96,2022,Elite,Elite,,,haypro top 30,
oditty,96,2022,OP,,,,haypro top 30,
draintic,96,2024,SOL,Elite,,,SOL Summer 2024,
Latedownload,96,2026,VAK,Elite,,,VCL 2026,
HanoClique,95,2023,Silver Crew,Experienced,,TRUE,2023 tier list,
V3KT,95,2022,VAK,,,,2022 Summer Games draft,
pastlight,95,2021,,,,,Growth interpolation,
omwhugo,95,2023,Snow Core,Elite,,,2023 tier list,
chalst,95,2020,CSP,Elite,,,2020 tier list,
Da_mas,95,2020,VAK,,,,2020 tier list,
draintic,95,2020,CSP,Elite,,,2020 tier list,
EnigmaPenguin,95,2020,CSP,Experienced,,,2020 tier list,
F00fighters,91,2020,TNIC,,,,2020 tier list,
m_jor,95,2020,ARCON,Elite,,,2020 tier list,
outflash,95,2020,CSP,,,,2020 tier list,
pastlight,95,2020,CSP,,,,all-time impact top 100,
Sahsook,95,2020,,,,,all-time impact top 100,
sentXI,95,2020,CSP,,,,2020 tier list,
evilsworn,95,2020,CSP,,,,2020 tier list,
Latedownload,95,2020,,Elite,,,2020 tier list,
Latedownload,95,2025,VAK,Elite,,,,
JAWS,95,2021,,,,,all-time impact top 100,
evilnura,95,2023,VAK,,,,2023 tier list,
f_earfulmaster,95,2023,OP,,,,2023 tier list,
outflash,95,2023,VAK,,,,2023 tier list,
Avaitron,95,2026,,Elite,,,Matcha tier list,
aspirrant,95,2026,,Elite,,,Matcha tier list,
dreaddfuI,95,2026,VAK,,,,Matcha tier list,
goatvicts,95,2026,SURGE,,,,Matcha tier list,
rinarcy,95,2026,,,,,Matcha tier list,
frrags,95,2023,VAK,,,,2023 tier list,
blacklisting,95,2022,VAK,,,,2022 Summer Games draft,
c4spian,95,2021,,,,,Growth interpolation,
JAWS,95,2023,VAK,,,,2023 tier list,
ReaperMagic,95,2021,,,,,all-time impact top 100,
frrags,95,2026,VAK,,,,Matcha tier list,
chalst,95,2021,,,,,2021 CCL draft,
chalst,95,2019,,,,,all-time impact top 100,
GhostTactical,95,2023,SOL,Elite,,,2023 tier list,
jessdownload,95,2022,,,,,,
blacklisting,94,2023,RoR,,,,2023 tier list,
ReaperMagic,94,2023,VAK,,,,2023 tier list,
pastlight,94,2022,VAK,,,,2022 Summer Games draft,
c4spian,94,2023,SOL,,,,2023 tier list,
hecactia,94,2021,,,,,all-time impact top 100,
ReaperMagic,94,2022,VAK,,,,2022 Summer Games draft,
Sahsook,94,2021,,,,,Growth interpolation,
tokyosurfer,94,2022,VAK,,,,2022 Summer Games draft,
hecactia,94,2022,VAK,,,,haypro top 30,
Sahsook,94,2022,VAK,,,,haypro top 30,
EnigmaPenguin,94,2022,OP,,,,haypro top 30,
c4spian,94,2022,VAK,,,,haypro top 30,
JAWS,94,2022,Sol,,,,haypro top 30,
Ran502,94,2022,Sol,,,,haypro top 30,
tokyosurfer,93,2023,,,,,,
Sofapoppin,93,2020,,,,,all-time impact top 100,
Ran502,93,2021,,,,,all-time impact top 100,
lmaotion,93,2026,,,,,Matcha tier list,
shintics,93,2026,IA,Experienced,,,Matcha tier list,
hecactia,93,2023,VAK,,,,2023 tier list,
hecactia,93,2025,VAK,,,,,
gard1bas,93,2021,,,,,2021 CCL draft,
ReaperMagic,93,2020,ARCON,,,,2020 tier list,
Xialafils,93,2024,,,,,Submission,
Br_ce,93,2020,,,,,2020 CCL stats,
danlam,93,2024,SOL,Experienced,,,SOL Summer 2024,
dreaddfuI,93,2024,SOL,,,,SOL Summer 2024,
m_jor,93,2026,VAK,Elite,,,VCL 2026,
hecactia,93,2026,VAK,,,,VCL 2026,
C_talyst,92,2021,,,,,all-time impact top 100,
no_logic,92,2022,VAK,,,,2022 Summer Games draft,
evilmatty,92,2021,,,,,all-time impact top 100,
HALSTAD,92,2021,,,,,2021 gun-clanner list,
Pryxis,92,2021,,Experienced,,,all-time impact top 100,
tokyosurfer,92,2021,,,,,all-time impact top 100,
C_talyst,92,2022,VAK,,,,2022 Summer Games draft,
frrags,92,2021,,,,,2021 CCL draft,
J_tson,92,2021,,,,,2021 CCL draft,
dibbix,92,2022,RoA,,,,Personal,
12ekt,92,2023,SURGE,,,,2023 tier list,
waycheder,92,2024,,,,,,
sybr,92,2020,,,,,2020 CCL stats,
Commando_Jesus,92,2022,OP,,,,haypro top 30,
12ekt,92,2022,Sol,,,,haypro top 30,
chalst,92,2022,Frigid,,,,haypro top 30,
J_tson,92,2022,OP,,,,haypro top 30,
TORMENT_X,92,2022,OP,,,,haypro top 30,
Avaitron,92,2022,VAK,Elite,,,haypro top 30,
shaquillee,92,2026,VAK,,,,VCL 2026,
C_talyst,92,2026,VAK,,,,VCL 2026,
paul321321,91,2023,CCL,Elite,,,Personal,
faxyst,91,2022,VAK,,,,2022 Summer Games draft,
Commando_Jesus,91,2019,,,,,all-time impact top 100,
1ultraa1,91,2020,CSP,,,,2020 tier list,
adriel,91,2020,CSP,,,,2020 tier list,
Avaitron,91,2020,ARCON,,,,2020 tier list,
C_talyst,91,2020,ARCON,,,,2020 tier list,
Commando_Jesus,91,2020,ARCON,,,,2020 tier list,
DoctorSatan,91,2020,ARCON,,,,2020 tier list,
drainsights,91,2020,,,,,2020 tier list,
fytho,91,2020,CSP,,,,2020 tier list,
G2_Jetson,91,2020,OP,,,,2020 tier list,
Gupp_r,91,2020,CSP,,,,2020 tier list,
HALSTAD,91,2020,VAL,,,,2020 tier list,
JAWS,91,2020,VAL,,,,2020 tier list,
monkahpoppin,91,2020,CSP,,,,2020 tier list,
NoClique,91,2020,,,,,2020 tier list,
Octasion,91,2020,ARCON,,,,2020 tier list,
Out_Gunner,91,2020,CSP,,,,2020 tier list,
paul321321,91,2020,CCL,Elite,,,2020 tier list,
Sliqqq,91,2020,OP,,,,2020 tier list,
Swuggah,91,2020,CSP,,,,2020 tier list,
accelfrenzy,91,2023,VAK,,,,2023 tier list,
cartiftf,91,2023,RoR,,,,2023 tier list,
dreaddfuI,91,2023,Silver Crew,,,,2023 tier list,
KiroClique,91,2023,Silver Crew,,,,2023 tier list,
Memeserii,91,2023,Silver Crew,,,,2023 tier list,
Nick_Montana,91,2023,OP,,,,2023 tier list,
turilio,91,2023,SOL,,,,2023 tier list,
danlam,91,2026,,,,,Matcha tier list,
omwhugo,91,2026,,Elite,,,Matcha tier list,
vAbcelon,91,2026,,,,,Matcha tier list,
ariszaas,91,2023,RoA,,,,Personal,
accelfrenzy,91,2022,VAK,,,,2022 Summer Games draft,
Avaitron,91,2021,,,,,Growth interpolation,
KanyesFreshStart,91,2023,,,,,,
Dischanted,91,2023,,,,,,
GhostTactical,91,2021,,,,,Growth interpolation,
s9ense,91,2026,,,,,Personal,
Sidees,91,2023,,,,,,
kiritobriz,91,2020,,,,,2020 CCL stats,
Commando_Lemon,91,2020,,,,,2020 CCL stats,
